"","municipio_codigo","municipio","uf","latitude","longitude","n","s"
"117",1502764,"CUMARU DO NORTE","PA",-7.81097,-50.7698,0,1
"118",1502772,"CURIONOPOLIS","PA",-6.09965,-49.6068,1,1
"119",1502806,"CURRALINHO","PA",-1.81179,-49.7952,1,0
"120",1502855,"CURUA","PA",-1.88775,-55.1168,0,2
"121",1502905,"CURUCA","PA",-0.733214,-47.8515,0,1
"122",1502939,"DOM ELISEU","PA",-4.19944,-47.8245,3,21
"123",1502954,"ELDORADO DOS CARAJAS","PA",-6.10389,-49.3553,4,1
"124",1503002,"FARO","PA",-2.16805,-56.7405,1,0
"125",1503044,"FLORESTA DO ARAGUAIA","PA",-7.55335,-49.7125,1,0
"126",1503077,"GARRAFAO DO NORTE","PA",-1.92986,-47.0505,1,5
"127",1503093,"GOIANESIA DO PARA","PA",-3.84338,-49.0974,8,4
"128",1503101,"GURUPA","PA",-1.41412,-51.6338,1,0
"129",1503200,"IGARAPE-ACU","PA",-1.12539,-47.626,2,2
"130",1503309,"IGARAPE-MIRI","PA",-1.97533,-48.9575,0,1
"131",1503457,"IPIXUNA DO PARA","PA",-2.55992,-47.5059,0,4
"132",1503507,"IRITUIA","PA",-1.76984,-47.446,0,1
"133",1503606,"ITAITUBA","PA",-4.2667,-55.9926,36,31
"134",1503705,"ITUPIRANGA","PA",-5.13272,-49.3358,6,2
"135",1503754,"JACAREACANGA","PA",-6.21469,-57.7544,0,4
"136",1503804,"JACUNDA","PA",-4.44617,-49.1153,0,5
"137",1503903,"JURUTI","PA",-2.16347,-56.0889,10,1
"138",1504208,"MARABA","PA",-5.38075,-49.1327,91,57
"139",1504406,"MARAPANIM","PA",-0.714702,-47.7034,0,1
"140",1504422,"MARITUBA","PA",-1.36002,-48.3421,7,14
"141",1504703,"MOJU","PA",-1.88993,-48.7668,1,12
"142",1504752,"MOJUI DOS CAMPOS","PA",-2.6822,-54.6425,1,1
"143",1504802,"MONTE ALEGRE","PA",-1.99768,-54.0724,0,2
"144",1504901,"MUANA","PA",-1.53936,-49.2224,0,1
"145",1504976,"NOVA IPIXUNA","PA",-4.91622,-49.0822,9,3
"146",1505007,"NOVA TIMBOTEUA","PA",-1.20874,-47.3921,4,0
"147",1505031,"NOVO PROGRESSO","PA",-7.14347,-55.3786,1,9
"148",1505064,"NOVO REPARTIMENTO","PA",-4.24749,-49.9499,4,7
"149",1505106,"OBIDOS","PA",-1.90107,-55.5208,0,4
"150",1505304,"ORIXIMINA","PA",-1.75989,-55.8579,1,9
"151",1505403,"OUREM","PA",-1.54168,-47.1126,0,1
"152",1505437,"OURILANDIA DO NORTE","PA",-6.7529,-51.0858,7,10
"153",1505486,"PACAJA","PA",-3.83542,-50.6399,0,2
"154",1505494,"PALESTINA DO PARA","PA",-5.74027,-48.3181,0,1
"155",1505502,"PARAGOMINAS","PA",-3.00212,-47.3527,14,62
"156",1505536,"PARAUAPEBAS","PA",-6.06781,-49.9037,230,30
"157",1505551,"PAU D'ARCO","PA",-1.59772,-46.9268,2,0
"158",1505635,"PICARRA","PA",-6.43778,-48.8716,4,3
"159",1505650,"PLACAS","PA",-3.86813,-54.2124,1,0
"160",1505908,"PORTO DE MOZ","PA",-1.74691,-52.2361,2,0
"161",1506104,"PRIMAVERA","PA",-0.945439,-47.1253,2,0
"162",1506138,"REDENCAO","PA",-8.02529,-50.0317,49,39
"163",1506161,"RIO MARIA","PA",-7.31236,-50.0379,4,12
"164",1506187,"RONDON DO PARA","PA",-4.77793,-48.067,24,7
"165",1506195,"RUROPOLIS","PA",-4.10028,-54.9092,2,2
"166",1506203,"SALINOPOLIS","PA",-0.630815,-47.3465,1,0
"167",1506351,"SANTA BARBARA DO PARA","PA",-1.19219,-48.238,3,0
"168",1506500,"SANTA ISABEL DO PARA","PA",-1.29686,-48.1606,11,3
"169",1506583,"SANTA MARIA DAS BARREIRAS","PA",-8.85784,-49.7215,24,10
"170",1506609,"SANTA MARIA DO PARA","PA",-1.35392,-47.5712,1,1
"171",1506708,"SANTANA DO ARAGUAIA","PA",-9.3281,-50.35,9,7
"172",1506807,"SANTAREM","PA",-2.43849,-54.6996,45,35
"173",1507003,"SANTO ANTONIO DO TAUA","PA",-1.1522,-48.1314,0,2
"174",1507151,"SAO DOMINGOS DO ARAGUAIA","PA",-5.53732,-48.7366,0,2
"175",1507300,"SAO FELIX DO XINGU","PA",-6.64254,-51.9904,4,9
"176",1507409,"SAO FRANCISCO DO PARA","PA",-1.16963,-47.7917,0,1
"177",1507458,"SAO GERALDO DO ARAGUAIA","PA",-6.39471,-48.5592,0,1
"178",1507607,"SAO MIGUEL DO GUAMA","PA",-1.61307,-47.4784,1,2
"179",1507755,"SAPUCAIA","PA",-6.94018,-49.6834,1,2
"180",1507904,"SOURE","PA",-0.73032,-48.5015,1,0
"181",1507953,"TAILANDIA","PA",-2.94584,-48.9489,7,14
"182",1507961,"TERRA ALTA","PA",-1.02963,-47.9004,1,0
"183",1507979,"TERRA SANTA","PA",-2.10443,-56.4877,0,3
"184",1508001,"TOME-ACU","PA",-2.41302,-48.1415,25,35
"185",1508035,"TRACUATEUA","PA",-1.07653,-46.9031,0,5
"186",1508050,"TRAIRAO","PA",-4.57347,-55.9429,0,2
"187",1508084,"TUCUMA","PA",-6.74687,-51.1626,11,10
"188",1508100,"TUCURUI","PA",-3.7657,-49.6773,10,9
"189",1508126,"ULIANOPOLIS","PA",-3.75007,-47.4892,2,11
"190",1508159,"URUARA","PA",-3.71519,-53.7396,1,0
"191",1508209,"VIGIA","PA",-0.861194,-48.1386,3,1
"192",1508308,"VISEU","PA",-1.19124,-46.1399,4,0
"193",1508407,"XINGUARA","PA",-7.0983,-49.9437,29,15
"194",1600105,"AMAPA","AP",2.05267,-50.7957,0,3
"195",1600154,"PEDRA BRANCA DO AMAPARI","AP",0.777424,-51.9503,1,0
"196",1600279,"LARANJAL DO JARI","AP",-0.804911,-52.453,3,2
"197",1600303,"MACAPA","AP",0.034934,-51.0694,35,31
"198",1600600,"SANTANA","AP",-0.045434,-51.1729,5,33
"199",1600709,"TARTARUGALZINHO","AP",1.50652,-50.9087,0,3
"200",1600808,"VITORIA DO JARI","AP",-0.938,-52.424,0,2
"201",1700301,"AGUIARNOPOLIS","TO",-6.55409,-47.4702,0,1
"202",1700350,"ALIANCA DO TOCANTINS","TO",-11.3056,-48.9361,1,4
"203",1700707,"ALVORADA","TO",-12.4785,-49.1249,5,7
"204",1701002,"ANANAS","TO",-6.36437,-48.0735,0,1
"205",1701051,"ANGICO","TO",-6.39179,-47.8611,1,0
"206",1701101,"APARECIDA DO RIO NEGRO","TO",-9.94139,-47.9638,3,0
"207",1701309,"ARAGOMINAS","TO",-7.16005,-48.5291,0,2
"208",1701903,"ARAGUACEMA","TO",-8.80755,-49.5569,0,3
"209",1702000,"ARAGUACU","TO",-12.9289,-49.8231,1,4
"210",1702109,"ARAGUAINA","TO",-7.19238,-48.2044,109,50
"211",1702208,"ARAGUATINS","TO",-5.64659,-48.1232,1,3
"212",1702307,"ARAPOEMA","TO",-7.65463,-49.0637,2,0
"213",1702406,"ARRAIAS","TO",-12.9287,-46.9359,0,1
"214",1702554,"AUGUSTINOPOLIS","TO",-5.46863,-47.8863,4,6
"215",1703008,"BABACULANDIA","TO",-7.20923,-47.7613,4,1
"216",1703057,"BANDEIRANTES DO TOCANTINS","TO",-7.75612,-48.5836,0,9
"217",1703073,"BARRA DO OURO","TO",-7.69593,-47.6776,0,1
"218",1703206,"BERNARDO SAYAO","TO",-7.87481,-48.8893,0,1
"219",1703701,"BREJINHO DE NAZARE","TO",-11.0058,-48.5683,0,3
"220",1703800,"BURITI DO TOCANTINS","TO",-5.31448,-48.2271,0,1
"221",1703842,"CAMPOS LINDOS","TO",-7.98956,-46.8645,1,1
"222",1703867,"CARIRI DO TOCANTINS","TO",-11.8881,-49.1609,0,2
"223",1703909,"CASEARA","TO",-9.27612,-49.9521,7,8
"224",1705102,"CHAPADA DA NATIVIDADE","TO",-11.6175,-47.7486,0,1
"225",1705508,"COLINAS DO TOCANTINS","TO",-8.05764,-48.4757,7,25
"226",1705557,"COMBINADO","TO",-12.7917,-46.5388,0,1
"227",1705607,"CONCEICAO DO TOCANTINS","TO",-12.2209,-47.2951,0,1
"228",1706001,"COUTO DE MAGALHAES","TO",-8.28411,-49.2473,2,18
"229",1706100,"CRISTALANDIA","TO",-10.5985,-49.1942,0,10
"230",1706258,"CRIXAS DO TOCANTINS","TO",-11.0994,-48.9152,0,2
"231",1706506,"DARCINOPOLIS","TO",-6.71591,-47.7597,3,0
"232",1707009,"DIANOPOLIS","TO",-11.624,-46.8198,13,2
"233",1707108,"DIVINOPOLIS DO TOCANTINS","TO",-9.80018,-49.2169,0,16
"234",1707306,"DUERE","TO",-11.3416,-49.2716,1,0
"235",1707553,"FATIMA","TO",-10.7603,-48.9076,1,0
"236",1707702,"FILADELFIA","TO",-7.33501,-47.4954,0,1
"237",1708205,"FORMOSO DO ARAGUAIA","TO",-11.7976,-49.5316,0,11
"238",1708254,"FORTALEZA DO TABOCAO","TO",-9.05611,-48.5206,1,1
"239",1708304,"GOIANORTE","TO",-8.77413,-48.9313,1,0
"240",1709005,"GOIATINS","TO",-7.71478,-47.3252,0,2
"241",1709302,"GUARAI","TO",-8.83543,-48.5114,1,19
"242",1709500,"GURUPI","TO",-11.7279,-49.068,33,14
"243",1709807,"IPUEIRAS","TO",-11.2329,-48.46,0,4
"244",1710508,"ITACAJA","TO",-8.39293,-47.7726,1,0
"245",1710904,"ITAPIRATINS","TO",-8.37982,-48.1072,0,1
"246",1711100,"ITAPORA DO TOCANTINS","TO",-8.57172,-48.6895,0,2
"247",1711902,"LAGOA DA CONFUSAO","TO",-10.7906,-49.6199,4,8
