,cnae_fiscal,cnae_fiscal_desc,uf,mun,quant,mun_uf,codigo_ibge,latitude,longitude;
119,2099199,Fabricação de outros produtos químicos não especificados anteriormente,pr,ponta grossa,1.36,ponta grossa - pr,4119905,-25.0916,-50.1668;
120,2099199,Fabricação de outros produtos químicos não especificados anteriormente,pr,ponta grossa,0.0,ponta grossa - pr,4119905,-25.0916,-50.1668;
121,2099199,Fabricação de outros produtos químicos não especificados anteriormente,pr,ponta grossa,28.3,ponta grossa - pr,4119905,-25.0916,-50.1668;
122,2099199,Fabricação de outros produtos químicos não especificados anteriormente,pr,ponta grossa,0.0,ponta grossa - pr,4119905,-25.0916,-50.1668;
123,1510600,Curtimento e outras preparações de couro,pa,xinguara,3321.0,xinguara - pa,1508407,-7.0983,-49.9437;
124,1510600,Curtimento e outras preparações de couro,pa,xinguara,840.0,xinguara - pa,1508407,-7.0983,-49.9437;
125,1510600,Curtimento e outras preparações de couro,pa,xinguara,1012.3,xinguara - pa,1508407,-7.0983,-49.9437;
126,1510600,Curtimento e outras preparações de couro,pa,xinguara,1280.5,xinguara - pa,1508407,-7.0983,-49.9437;
127,1510600,Curtimento e outras preparações de couro,pa,xinguara,1455.7,xinguara - pa,1508407,-7.0983,-49.9437;
128,1510600,Curtimento e outras preparações de couro,mt,cuiaba,2877.33,cuiaba - mt,5103403,-15.600999999999999,-56.0974;
129,1510600,Curtimento e outras preparações de couro,mt,cuiaba,1377.05,cuiaba - mt,5103403,-15.600999999999999,-56.0974;
130,1510600,Curtimento e outras preparações de couro,mt,cuiaba,1026.7,cuiaba - mt,5103403,-15.600999999999999,-56.0974;
131,1510600,Curtimento e outras preparações de couro,mt,cuiaba,1581.2,cuiaba - mt,5103403,-15.600999999999999,-56.0974;
132,1510600,Curtimento e outras preparações de couro,ba,juazeiro,24.5,juazeiro - ba,2918407,-9.41622,-40.5033;
133,1510600,Curtimento e outras preparações de couro,ba,juazeiro,93.74,juazeiro - ba,2918407,-9.41622,-40.5033;
"134,2013402,""Fabricação de adubos e fertilizantes, exceto organo-minerais"",ba,camacari,3.0,camacari - ba,2905701,-12.6996,-38.3263";
