"","municipio","lat","lng","sum_quant"
"295","buriti do tocantins - to",-5.31448,-48.2271,112.67875
"296","buriti dos lopes - pi",-3.18259,-41.8695,0.01
"297","buritis - mg",-15.6218,-46.4221,667.056
"298","buritis - ro",-10.1943,-63.8324,12.22
"299","buritizeiro - mg",-17.3656,-44.9606,0.01
"300","caapora - pb",-7.51351,-34.9055,3888.82666666667
"301","caarapo - ms",-22.6368,-54.8209,29.38
"302","cabeceira grande - mg",-16.0335,-47.0862,0.05
"303","cabeceiras do piaui - pi",-4.4773,-42.3069,65.7142857142857
"304","cabedelo - pb",-6.98731,-34.8284,0.01
"305","cabo de santo agostinho - pe",-8.28218,-35.0253,154859.162916667
"306","cabo frio - rj",-22.8894,-42.0286,337.8
"307","cabo verde - mg",-21.4699,-46.3919,0.91
"308","cabreuva - sp",-23.3053,-47.1362,458.455
"309","cacador - sc",-26.7757,-51.012,8863.86372222222
"310","cacapava - sp",-23.0992,-45.7076,7656.86375
"311","cacapava do sul - rs",-30.5144,-53.4827,1900.97142857143
"312","cacaulandia - ro",-10.349,-62.9043,0.05
"313","caceres - mt",-16.0764,-57.6818,0.01
"314","cachoeira - ba",-12.5994,-38.9587,35054.88
"315","cachoeira alta - go",-18.7618,-50.9432,4.63
"316","cachoeira da prata - mg",-19.521,-44.4544,0.51
"317","cachoeira de pajeu - mg",-15.9688,-41.4948,0
"318","cachoeira do sul - rs",-30.033,-52.8928,1.085
"319","cachoeira dourada - mg",-18.5161,-49.5039,0.0142857142857143
"320","cachoeira paulista - sp",-22.6665,-45.0154,1
"321","cachoeiras de macacu - rj",-22.4658,-42.6523,719.46
"322","cachoeirinha - rs",-29.9472,-51.1016,2265.87833333333
"323","cachoeiro de itapemirim - es",-20.8462,-41.1198,7031.65035714286
"324","cacoal - ro",-11.4343,-61.4562,246.243571428571
"325","caconde - sp",-21.528,-46.6437,15
"326","cacu - go",-18.5594,-51.1328,9e+05
"327","cacule - ba",-14.5003,-42.2229,0.0283333333333333
"328","caetanopolis - mg",-19.2971,-44.4189,0.35
"329","caete - mg",-19.8826,-43.6704,828.83
"330","caetite - ba",-14.0684,-42.4861,2.665
"331","cafelandia - pr",-24.6189,-53.3207,21.8446153846154
"332","caiaponia - go",-16.9539,-51.8091,0.09
"333","caibi - sc",-27.0741,-53.2458,0.233333333333333
"334","caieiras - sp",-23.3607,-46.7397,794.305333333333
"335","cajamar - sp",-23.355,-46.8781,900.184285714286
"336","cajati - sp",-24.7324,-48.1223,356892.662857143
"337","cajazeiras - pb",-6.88004,-38.5577,0.1
"338","cajuru - sp",-21.2749,-47.303,3.85
"339","caldas - mg",-21.9183,-46.3843,31.01
"340","caldas brandao - pb",-7.1025,-35.3272,0.6
"341","california - pr",-23.6566,-51.3574,4.23
"342","camacari - ba",-12.6996,-38.3263,152203.773086546
"343","camacho - mg",-20.6294,-45.1593,0.01
"344","camaqua - rs",-30.8489,-51.8043,73.9
"345","camaragibe - pe",-8.02351,-34.9782,0.3
"346","camargo - rs",-28.588,-52.2003,193.2
"347","cambara - pr",-23.0423,-50.0753,1044.22555555556
"348","cambara do sul - rs",-29.0474,-50.1465,500
"349","cambe - pr",-23.2766,-51.2798,4863.17833333333
"350","camboriu - sc",-27.0241,-48.6503,243.290666666667
"351","cambui - mg",-22.6115,-46.0572,0.01
"352","cambuquira - mg",-21.854,-45.2896,0.33
"353","campanha - mg",-21.836,-45.4004,12.1
"354","campestre - mg",-21.7079,-46.2381,199.21
"355","campestre do maranhao - ma",-6.17075,-47.3625,192.635
"356","campina do monte alegre - sp",-23.5895,-48.4758,1.024
"357","campina grande - pb",-7.22196,-35.8731,146.551428571429
"358","campina grande do sul - pr",-25.3044,-49.0551,45.2857142857143
"359","campina verde - mg",-19.5382,-49.4862,14.3966666666667
"360","campinas - sp",-22.9053,-47.0659,536.730416666667
"361","campinorte - go",-14.3137,-49.1511,0
"362","campo alegre - al",-9.78451,-36.3525,5722
"363","campo alegre - sc",-26.195,-49.2676,2876.66166666667
"364","campo belo - mg",-20.8932,-45.2699,15.4408333333333
"365","campo bom - rs",-29.6747,-51.0606,209.779642857143
"366","campo do tenente - pr",-25.98,-49.6844,102.49
"367","campo formoso - ba",-10.5105,-40.32,1288.96857142857
"368","campo grande - ms",-20.4486,-54.6295,707.042
"369","campo largo - pr",-25.4525,-49.529,249.087797619048
"370","campo limpo de goias - go",-16.2971,-49.0895,1.255
"371","campo limpo paulista - sp",-23.2078,-46.7889,35.03
"372","campo magro - pr",-25.3687,-49.4501,0.0385
"373","campo mourao - pr",-24.0463,-52.378,4677.24627777778
"374","campo novo de rondonia - ro",-10.5712,-63.6266,1
"375","campo novo do parecis - mt",-13.6587,-57.8907,81.015
"376","campo verde - mt",-15.545,-55.1626,31.15
"377","campos do jordao - sp",-22.7296,-45.5833,0.78875
"378","campos dos goytacazes - rj",-21.7622,-41.3181,67997.6840476191
"379","campos novos - sc",-27.4002,-51.2276,8819.02375
"380","cana verde - mg",-21.0232,-45.1801,9.63555555555556
"381","canaa dos carajas - pa",-6.49659,-49.8776,18130.9
"382","canapolis - mg",-18.7212,-49.2035,203
"383","canarana - ba",-11.6858,-41.7677,116.963333333333
"384","canarana - mt",-13.5515,-52.2705,0.01
"385","candeias - ba",-12.6716,-38.5472,9856.71916666667
"386","candeias - mg",-20.7692,-45.2765,2.16666666666667
"387","candeias do jamari - ro",-8.7907,-63.7005,0.03
"388","candiba - ba",-14.4097,-42.8667,0.01
"389","candido de abreu - pr",-24.5649,-51.3372,4.28
"390","candido godoi - rs",-27.9515,-54.7517,389.666666666667
"391","candido rodrigues - sp",-21.3275,-48.6327,0.12
"392","candiota - rs",-31.5516,-53.6773,1260.54333333333
"393","canelinha - sc",-27.2616,-48.7658,686.76
"394","canguaretama - rn",-6.37193,-35.1281,1.51333333333333
"395","caninde - ce",-4.35162,-39.3155,4064.95
"396","canoas - rs",-29.9128,-51.1857,1095.05625
"397","canoinhas - sc",-26.1766,-50.395,100159.153452381
"398","cansancao - ba",-10.6647,-39.4944,0
"399","cantagalo - rj",-21.9797,-42.3664,1799.70166666667
"400","capanema - pa",-1.20529,-47.1778,152.03
"401","capanema - pr",-25.6691,-53.8055,6.7025
"402","capao do leao - rs",-31.7565,-52.4889,2922.206
"403","capela do alto alegre - ba",-11.6658,-39.8349,0.02
"404","capinopolis - mg",-18.6862,-49.5706,0.436
"405","capinzal - sc",-27.3473,-51.6057,385.80625
"406","capivari - sp",-22.9951,-47.5071,11.4495238095238
"407","caraguatatuba - sp",-23.6125,-45.4125,391.3325
"408","carai - mg",-17.1862,-41.7004,0.16
"409","carambei - pr",-24.9152,-50.0986,2388.495
"410","carandai - mg",-20.9566,-43.811,478537.626
"411","caratinga - mg",-19.7868,-42.1292,340001.0325
"412","carazinho - rs",-28.2958,-52.7933,18.4333333333333
"413","carbonita - mg",-17.5255,-43.0137,119291
"414","cariacica - es",-20.2632,-40.4165,10155.4353333333
"415","carinhanha - ba",-14.2985,-43.7724,0.04
"416","carlos barbosa - rs",-29.2969,-51.5028,51.25
"417","carlos chagas - mg",-17.6973,-40.7723,77.28
"418","carmo - rj",-21.931,-42.6046,0.25
"419","carmo da mata - mg",-20.5575,-44.8735,6.69
"420","carmo do cajuru - mg",-20.1912,-44.7664,0.165
"421","carmo do paranaiba - mg",-18.991,-46.3167,0.01
"422","carmo do rio claro - mg",-20.9736,-46.1149,3.99
"423","carnaiba - pe",-7.79342,-37.7946,0
"424","carnauba dos dantas - rn",-6.55015,-36.5868,2971.83025
"425","carnaubais - rn",-5.34181,-36.8335,0.135
"426","carpina - pe",-7.84566,-35.2514,1525.01
"427","caruaru - pe",-8.28455,-35.9699,1959.15022222222
"428","carutapera - ma",-1.19696,-46.0085,1.908
"429","carvalhos - mg",-22,-44.4632,31.6666666666667
"430","casa branca - sp",-21.7708,-47.0852,1148
"431","casca - rs",-28.5605,-51.9815,3.02
"432","cascavel - ce",-4.12967,-38.2412,22379.45625
"433","cascavel - pr",-24.9573,-53.459,5186.45160606061
"434","caseiros - rs",-28.2582,-51.6861,70
"435","casimiro de abreu - rj",-22.4812,-42.2066,0.01
"436","cassia - mg",-20.5831,-46.9201,32.98
"437","cassilandia - ms",-19.1179,-51.7313,118.558333333333
"438","castanhal - pa",-1.29797,-47.9167,495.206666666667
"439","castanheira - mt",-11.1251,-58.6081,300.96
"440","castelo - es",-20.6033,-41.2031,44.33
"441","castro - pr",-24.7891,-50.0108,25663.152706044
"442","castro alves - ba",-12.7579,-39.4248,0
"443","cataguases - mg",-21.3924,-42.6896,119940.458333333
"444","catalao - go",-18.1656,-47.944,195488.09952381
"445","catanduva - sp",-21.1314,-48.977,797.83375
"446","catanduvas - sc",-27.069,-51.6602,66.46125
"447","catarina - ce",-6.12291,-39.8736,0.05
"448","catole do rocha - pb",-6.34062,-37.747,2.65
"449","catu - ba",-12.3513,-38.3791,703.44
"450","caturama - ba",-13.3239,-42.2904,0.28
"451","caucaia - ce",-3.72797,-38.6619,902.314464285714
"452","caxias - ma",-4.86505,-43.3617,3.978
"453","caxias do sul - rs",-29.1629,-51.1792,25354.7709047619
"454","ceara-mirim - rn",-5.64323,-35.4247,772.51
"455","centro novo do maranhao - ma",-2.12696,-46.1228,10
"456","cerejeiras - ro",-13.187,-60.8168,4.09
"457","ceres - go",-15.3061,-49.6,6.7
"458","cerqueira cesar - sp",-23.038,-49.1655,0.01
"459","cerquilho - sp",-23.1665,-47.7459,2710
"460","cerro grande do sul - rs",-30.5905,-51.7418,0.55
"461","cesario lange - sp",-23.226,-47.9545,7.11375
"462","ceu azul - pr",-25.1489,-53.8415,76.9661904761905
"463","cezarina - go",-16.9718,-49.7758,1542.062
"464","chapadao do sul - ms",-18.788,-52.6263,188.616666666667
"465","chapadinha - ma",-3.73875,-43.3538,1000
"466","chapeco - sc",-27.1004,-52.6152,1708.41523809524
"467","charqueada - sp",-22.5096,-47.7755,15.6933333333333
"468","charqueadas - rs",-29.9625,-51.6289,0
"469","chopinzinho - pr",-25.8515,-52.5173,45.31
"470","chorozinho - ce",-4.28873,-38.4986,8330.26
"471","chupinguaia - ro",-12.5611,-60.8877,55.2583333333333
"472","cianorte - pr",-23.6599,-52.6054,2019.38204761905
"473","cidade gaucha - pr",-23.3772,-52.9436,2205.00833333333
"474","claraval - mg",-20.397,-47.2768,120
"475","claudio - mg",-20.4437,-44.7673,12942.3245
"476","clevelandia - pr",-26.4043,-52.3508,63.49
"477","coari - am",-4.09412,-63.1441,2579.4525
"478","cocal do sul - sc",-28.5986,-49.3335,504.463333333333
"479","cocalzinho de goias - go",-15.7914,-48.7747,77.465
"480","codo - ma",-4.45562,-43.8924,26.42
"481","coimbra - mg",-20.8535,-42.8008,0
"482","colatina - es",-19.5493,-40.6269,117.202714285714
"483","colider - mt",-10.8135,-55.461,12.1533333333333
"484","colina - sp",-20.7114,-48.5387,22.68
"485","colinas - ma",-6.03199,-44.2543,11.086
"486","colinas do tocantins - to",-8.05764,-48.4757,47.2783333333333
