data_inicio_fogo,localidade,mun,uf,tipo_item,provavel_causa,lat,lng
05/03/2021 15:03:00,ALDEIA VELHA,PORTO SEGURO,BA,EXTRATIVISMO,CAÇA,-16.4443537,-39.0653656
06/10/2020 08:10:00,PARNA DA CHAPADA DIAMANTINA,MUCUGE,BA,OUTRAS CAUSAS,INDETERMINADO,-13.0088285,-41.3711799
06/10/2020 08:10:00,PARNA DA CHAPADA DIAMANTINA,ANDARAI,BA,OUTRAS CAUSAS,INDETERMINADO,-12.8801668,-41.3721853
06/10/2020 08:10:00,PARQUE NATURAL MUNICIPAL DE ANDARAÍ ROTA DAS CACHOEIRAS,ANDARAI,BA,OUTRAS CAUSAS,INDETERMINADO,-12.7872832,-41.3629205
06/10/2020 08:10:00,PARQUE NATURAL MUNICIPAL DE ANDARAÍ ROTA DAS CACHOEIRAS,MUCUGE,BA,OUTRAS CAUSAS,INDETERMINADO,-12.9930078,-41.3406371
,SÃO MARCOS - RR,PACARAIMA,RR,ATIVIDADE AGROPECUÁRIA,QUEIMA DE LIXO,4.478414,-61.1482639
20/02/2016 11:02:00,RAPOSA SERRA DO SOL,UIRAMUTA,RR,,,4.4007377,-60.35972079999999
,YANOMAMI,MUCAJAI,RR,,,2.4470932,-60.91878449999999
04/12/2015 14:12:00,APA COROA VERMELHA,PORTO SEGURO,BA,OUTRAS CAUSAS,INDETERMINADO,-16.3368034,-39.0094642
08/01/2016 23:01:00,ALDEIA VELHA,PORTO SEGURO,BA,OUTRAS CAUSAS,INDETERMINADO,-16.4443537,-39.0653656
03/02/2016 19:02:00,APA COROA VERMELHA,SANTA CRUZ CABRALIA,BA,OUTRAS CAUSAS,INDETERMINADO,-16.3374347,-39.008728
15/07/2016 13:07:00,ÁREA MILITAR DA BASE AÉREA DE PORTO VELHO,PORTO VELHO,RO,OUTRAS CAUSAS,VANDALISMO,-8.7050743,-63.89732259999999
31/07/2016 12:07:00,Vila de Samuel,PORTO VELHO,RO,OUTRAS CAUSAS,INDETERMINADO,-8.6568469,-63.41298330000001
09/08/2016 16:08:00,"LINHA MA 04, KM 31",VALE DO ANARI,RO,OUTRAS CAUSAS,VANDALISMO,-9.8596408,-62.1748035
20/08/2019 13:08:00,FAZ: MOENDA,CORUMBA,MS,OUTRAS CAUSAS,VANDALISMO,-19.016104,-57.6496917
18/08/2019 11:08:00,BAKAIRI,PARANATINGA,MT,OUTRAS CAUSAS,VANDALISMO,-14.298967,-54.6188614
20/09/2019 08:09:00,Estância 120 - Pocone/MT,POCONE,MT,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM PLANTADA,-16.266471,-56.626599
09/09/2019 10:09:00,P.A. Facão Projeto Cinturão Verde / Cáceres,CACERES,MT,OUTRAS CAUSAS,INDETERMINADO,-16.166667,-57.59999999999999
10/08/2019 13:08:00,Aldeia Santana,NOBRES,MT,ACIDENTE,FAGULHA DE MÁQUINAS,-14.2087889,-55.4797867
02/11/2019 13:11:00,Base de Estudo - UFMS - Passo do Lontra,CORUMBA,MS,OUTRAS CAUSAS,INDETERMINADO,-19.5768912,-57.0191689
10/01/2016 14:01:00,RAPOSA SERRA DO SOL,UIRAMUTA,RR,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,4.4007377,-60.35972079999999
10/01/2016 17:01:00,RAPOSA SERRA DO SOL,UIRAMUTA,RR,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,4.4007377,-60.35972079999999
27/01/2016 04:01:00,SERRA DA MOÇA,BOA VISTA,RR,ATIVIDADE AGROPECUÁRIA,QUEIMA DE LIXO,3.2705054,-60.6745864
31/12/2015 11:12:00,RAPOSA SERRA DO SOL,NORMANDIA,RR,OUTRAS CAUSAS,VANDALISMO,3.8797158,-59.6340059
28/02/2016 18:02:00,YANOMAMI,MUCAJAI,RR,,,2.4470932,-60.91878449999999
26/02/2016 19:02:00,YANOMAMI,ALTO ALEGRE,RR,,,2.9926147,-61.3115797
26/02/2016 15:02:00,TABALASCADA,CANTA,RR,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,2.6862791,-60.6017441
26/02/2016 11:02:00,TABALASCADA,CANTA,RR,ACIDENTE,FAGULHA TRANSPORTADA PELO VENTO,2.6862791,-60.6017441
,YANOMAMI,MUCAJAI,RR,ACIDENTE,CONFECÇÃO DE ACEIRO,2.4470932,-60.91878449999999
,YANOMAMI,MUCAJAI,RR,OUTRAS CAUSAS,INDETERMINADO,2.4470932,-60.91878449999999
,YANOMAMI,MUCAJAI,RR,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM PLANTADA,2.4470932,-60.91878449999999
22/01/2019 12:01:00,Fazenda,SANTA CRUZ CABRALIA,BA,ATIVIDADE AGROPECUÁRIA,QUEIMA DE LIXO,-16.2739677,-39.0356826
09/02/2019 13:02:00,SÃO MARCOS - RR,PACARAIMA,RR,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM PLANTADA,4.478414,-61.1482639
28/09/2019 15:09:00,linha 06 / Sentido Jacaré,COTRIGUACU,MT,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM PLANTADA,-9.9030481,-58.5657066
24/09/2019 13:09:00,LH 04 Cotriguaçu-MT,COTRIGUACU,MT,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM PLANTADA,-9.9052987,-58.5698988
13/09/2019 13:09:00,PDS BORDOLÃNDIA / SERRA NOVA DOURADA,SERRA NOVA DOURADA,MT,OUTRAS CAUSAS,VANDALISMO,-12.0763919,-51.4728808
25/01/2016 21:01:00,SERRA DA MOÇA,BOA VISTA,RR,ATIVIDADE AGROPECUÁRIA,QUEIMA DE LIXO,3.2705054,-60.6745864
10/01/2016 03:01:00,RAPOSA SERRA DO SOL,NORMANDIA,RR,OUTRAS CAUSAS,VANDALISMO,3.8797158,-59.6340059
20/01/2016 21:01:00,RAPOSA SERRA DO SOL,NORMANDIA,RR,OUTRAS CAUSAS,VANDALISMO,3.8797158,-59.6340059
27/02/2016 18:02:00,YANOMAMI,MUCAJAI,RR,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,2.4470932,-60.91878449999999
,YANOMAMI,MUCAJAI,RR,ACIDENTE,FAGULHA TRANSPORTADA PELO VENTO,2.4470932,-60.91878449999999
09/09/2018 11:09:00,Comunidade Campina de Pedra - IMBE,POCONE,MT,OUTRAS CAUSAS,VANDALISMO,-16.2598609,-56.628704
07/03/2019 15:03:00,SERRA DA MOÇA,BOA VISTA,RR,ACIDENTE,FAGULHA TRANSPORTADA PELO VENTO,3.2705054,-60.6745864
05/08/2019 13:08:00,BR 364 - Ramal do Ouro,SENA MADUREIRA,AC,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,-9.07618,-68.680892
08/08/2019 12:08:00,BR 364 - Km 17.5,SENA MADUREIRA,AC,OUTRAS CAUSAS,INDETERMINADO,-9.0696,-68.7321
25/06/2019 15:06:00,PA RETIRO / FLORIANO,FLORIANO,PI,ACIDENTE,REIGNIÇÃO,-6.777729099999999,-43.04620310000001
28/01/2021 15:01:00,ARAÇÁ,AMAJARI,RR,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,3.6541852,-61.4190754
29/01/2021 11:01:00,ARAÇÁ,AMAJARI,RR,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,3.6541852,-61.4190754
29/01/2021 16:01:00,ARAÇÁ,AMAJARI,RR,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,3.6541852,-61.4190754
27/01/2016 20:01:00,TABALASCADA,CANTA,RR,OUTRAS CAUSAS,INDETERMINADO,2.6862791,-60.6017441
20/01/2016 14:01:00,MALACACHETA,CANTA,RR,OUTRAS CAUSAS,VANDALISMO,2.707037,-60.38777200000001
23/01/2016 13:01:00,TABALASCADA,CANTA,RR,OUTRAS CAUSAS,INDETERMINADO,2.6862791,-60.6017441
01/12/2015 11:12:00,COROA VERMELHA,PORTO SEGURO,BA,OUTRAS CAUSAS,INDETERMINADO,-16.3297275,-39.0191718
02/03/2016 08:03:00,FAZENDA TABATINGA,PORTO SEGURO,BA,OUTRAS CAUSAS,INDETERMINADO,-16.4256046,-39.1033799
25/03/2019 17:03:00,MALACACHETA,CANTA,RR,OUTRAS CAUSAS,INDETERMINADO,2.707037,-60.38777200000001
30/10/2020 14:10:00,PA OLHO D AGUA I / MOJU,MOJU,PA,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,-2.2524163,-48.7918587
,YANOMAMI,MUCAJAI,RR,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,2.4470932,-60.91878449999999
04/03/2016 04:03:00,YANOMAMI,MUCAJAI,RR,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,2.4470932,-60.91878449999999
12/08/2016 11:08:00,JACI PARANÁ,PORTO VELHO,RO,OUTRAS CAUSAS,VANDALISMO,-9.253793,-64.4123901
25/09/2016 11:09:00,PA BOM JESUS / TARTARUGALZINHO,TARTARUGALZINHO,AP,OUTRAS CAUSAS,RITUAL RELIGIOSO,1.3828494,-50.9907025
30/10/2016 14:10:00,PA GOVERNADOR JANARY / TARTARUGALZINHO,TARTARUGALZINHO,AP,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,1.507904,-50.911867
12/10/2018 13:10:00,FAZENDA 3 CORAÇÕES,MIRASSOL D'OESTE,MT,OUTRAS CAUSAS,VANDALISMO,-15.676716,-58.09293599999999
21/07/2019 12:07:00,MARAIWATSEDE,ALTO BOA VISTA,MT,OUTRAS CAUSAS,INDETERMINADO,-11.7036923,-51.6244307
03/07/2019 16:07:00,PAD Boa Esperança - Ramal 34,SENA MADUREIRA,AC,ATIVIDADE AGROPECUÁRIA,QUEIMA DE LIXO,-21.092795,-45.5628734
16/09/2020 09:09:00,PARQUE DO XINGU,FELIZ NATAL,MT,ACIDENTE,REIGNIÇÃO,-11.8624992,-53.527784
16/09/2020 09:09:00,PARQUE DO XINGU,FELIZ NATAL,MT,ACIDENTE,CONFECÇÃO DE ACEIRO,-11.8624992,-53.527784
30/08/2020 07:08:00,MARAIWATSEDE,ALTO BOA VISTA,MT,OUTRAS CAUSAS,VANDALISMO,-11.7036923,-51.6244307
04/03/2016 13:03:00,YANOMAMI,IRACEMA,RR,ACIDENTE,FAGULHA TRANSPORTADA PELO VENTO,2.1690361,-61.0555655
12/03/2016 11:03:00,TABALASCADA,CANTA,RR,CAUSAS NATURAIS,DESCARGA ELÉTRICA DE RAIO,2.6862791,-60.6017441
23/09/2018 09:09:00,P.A.PAIOL LINHÃO PRINCIPAL / CÁCERES,CACERES,MT,OUTRAS CAUSAS,VANDALISMO,-6.207102,-52.70279559999999
27/12/2018 11:12:00,PARNA DA CHAPADA DIAMANTINA,ANDARAI,BA,OUTRAS CAUSAS,INDETERMINADO,-12.8801668,-41.3721853
03/08/2019 12:08:00,Sena Madureira - BR 364 - km 8,SENA MADUREIRA,AC,OUTRAS CAUSAS,VANDALISMO,-9.0685107,-68.6546037
22/11/2018 17:11:00,PA CRUZEIRO / AMAPA,AMAPA,AP,OUTRAS CAUSAS,VANDALISMO,-6.207102,-52.70279559999999
09/08/2018 03:08:00,Próximo Cabeceira Sucuri,CONQUISTA D'OESTE,MT,EXTRATIVISMO,CAÇA,-14.5401942,-59.5415835
07/08/2018 16:08:00,BR 070,POCONE,MT,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,-15.9283344,-56.914713
20/02/2019 10:02:00,APA SANTO ANTÔNIO,SANTA CRUZ CABRALIA,BA,OUTRAS CAUSAS,INDETERMINADO,-16.1838426,-38.9636055
15/10/2018 14:10:00,"Linha 19, Nova União - Cotriguaçú",COTRIGUACU,MT,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM PLANTADA,-9.3673106,-58.95344489999999
27/02/2019 16:02:00,APA CARAÍVA/ TRANCOSO,PORTO SEGURO,BA,OUTRAS CAUSAS,INDETERMINADO,-16.8080351,-39.1493607
27/07/2019 14:07:00,FAZ. CAIMASUL,CORUMBA,MS,OUTRAS CAUSAS,INDETERMINADO,-19.2891731,-57.6269836
20/08/2019 16:08:00,TAUNAY/IPEGUE,AQUIDAUANA,MS,ACIDENTE,FAGULHA TRANSPORTADA PELO VENTO,-20.2534553,-56.0674727
13/09/2019 11:09:00,PA SANTA TERESA-I / URUCUI,URUCUI,PI,OUTRAS CAUSAS,INDETERMINADO,-7.229543399999999,-44.5553219
13/09/2016 07:09:00,Kalunga,CAVALCANTE,GO,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,-13.7904208,-47.458134
14/11/2018 14:11:00,PA OLHO D AGUA I / MOJU,MOJU,PA,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,-2.2524163,-48.7918587
05/10/2018 10:10:00,Aldeia Estivadinho,TANGARA DA SERRA,MT,EXTRATIVISMO,CAÇA,-14.5953395,-58.06915189999999
18/10/2018 17:10:00,P.A.RECOMPENSA,CACERES,MT,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,-16.0873856,-57.6754995
28/08/2018 15:08:00,BR MT-170 / Nova Esperança - Cotriguaçú,COTRIGUACU,MT,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM PLANTADA,-9.9052987,-58.5698988
10/03/2019 20:03:00,COROA VERMELHA - GLEBA C,PORTO SEGURO,BA,OUTRAS CAUSAS,INDETERMINADO,-16.3368034,-39.0094642
02/02/2019 17:02:00,RAPOSA SERRA DO SOL/LAVRADO,NORMANDIA,RR,OUTRAS CAUSAS,VANDALISMO,4.4007377,-60.35972079999999
30/07/2019 12:07:00,Próximo Aldeia Nova Esperança,SAPEZAL,MT,,,-13.5474922,-58.81676699999999
30/07/2019 12:07:00,Próximo Aldeia Nova Esperança,TANGARA DA SERRA,MT,,,-14.6197344,-57.4875157
01/09/2019 12:09:00,FAZ. BODOQUENA,CORUMBA,MS,OUTRAS CAUSAS,INDETERMINADO,-19.0247335,-57.65759560000001
24/08/2019 11:08:00,Linha R-01 - Muriru,COTRIGUACU,MT,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM PLANTADA,-9.9030481,-58.5657066
15/08/2019 17:08:00,TAUNAY/IPEGUE,AQUIDAUANA,MS,ACIDENTE,FAGULHA TRANSPORTADA PELO VENTO,-20.2534553,-56.0674727
,MENKRAGNOTI,ALTAMIRA,PA,ACIDENTE,REIGNIÇÃO,-8.5045172,-53.347884
17/11/2018 14:11:00,PA OLHO D AGUA I / MOJU,MOJU,PA,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,-2.2524163,-48.7918587
06/11/2018 11:11:00,PA BOM JESUS / TARTARUGALZINHO,TARTARUGALZINHO,AP,OUTRAS CAUSAS,INDETERMINADO,1.3828494,-50.9907025
29/11/2018 14:11:00,Loteamento Placas,QUIXERAMOBIM,CE,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,-5.198153899999999,-39.2979145
22/02/2019 16:02:00,SERRA DA MOÇA,BOA VISTA,RR,OUTRAS CAUSAS,VANDALISMO,3.2705054,-60.6745864
08/12/2020 18:12:00,APA COROA VERMELHA,PORTO SEGURO,BA,OUTRAS CAUSAS,INDETERMINADO,-16.3368034,-39.0094642
21/08/2020 14:08:00,nova fronteira,NOVO PROGRESSO,PA,,,-7.0412687,-55.4197038
06/03/2021 10:03:00,ARAÇÁ,AMAJARI,RR,OUTRAS CAUSAS,VANDALISMO,3.6541852,-61.4190754
11/08/2016 13:08:00,"Estrada da Penal, Linha 21",PORTO VELHO,RO,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,-8.738352599999999,-63.86737639999999
14/08/2016 09:08:00,PA Joana Darc III - Linha 15,PORTO VELHO,RO,ATIVIDADE AGROPECUÁRIA,QUEIMA DE LIXO,-11.233369,-62.4507486
05/09/2018 08:09:00,Propriedade Santa Luzia,POCONE,MT,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,-16.2656758,-56.6263318
11/07/2018 18:07:00,BR MT-170 / Nova União - Cotriguaçú,COTRIGUACU,MT,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,-9.3669037,-58.951555
16/11/2018 10:11:00,APA Serra da Ibiapaba,VICOSA DO CEARA,CE,OUTRAS CAUSAS,INDETERMINADO,-3.5848066,-41.0983927
05/09/2018 16:09:00,PARQUE DO XINGU,SAO FELIX DO ARAGUAIA,MT,OUTRAS CAUSAS,INDETERMINADO,-11.6179703,-50.6650754
22/09/2018 15:09:00,BR MT-170 / Nova Esperança - Cotriguaçú,COTRIGUACU,MT,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM PLANTADA,-9.9052987,-58.5698988
14/10/2018 19:10:00,PDS BORDOLÃNDIA / SERRA NOVA DOURADA,SERRA NOVA DOURADA,MT,OUTRAS CAUSAS,INDETERMINADO,-12.0763919,-51.4728808
16/11/2018 14:11:00,UAÇA,OIAPOQUE,AP,OUTRAS CAUSAS,INDETERMINADO,3.5318292,-51.4742925
07/02/2019 14:02:00,MATA MEDONHA,SANTA CRUZ CABRALIA,BA,OUTRAS CAUSAS,INDETERMINADO,-16.155937,-39.0090215
13/09/2019 09:09:00,Linha V-05 - Cotriguaçú,COTRIGUACU,MT,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM PLANTADA,-9.9030759,-58.5657137
,SERRA DA MOÇA,BOA VISTA,RR,ACIDENTE,CONFECÇÃO DE ACEIRO,3.2705054,-60.6745864
23/02/2020 07:02:00,RAPOSA SERRA DO SOL,NORMANDIA,RR,OUTRAS CAUSAS,VANDALISMO,3.8797158,-59.6340059
23/03/2021 18:03:00,COROA VERMELHA,PORTO SEGURO,BA,ATIVIDADE AGROPECUÁRIA,QUEIMA DE LIXO,-16.3297275,-39.0191718
24/08/2018 18:08:00,LH V-06 - Lambari,COTRIGUACU,MT,CAUSAS NATURAIS,DESCARGA ELÉTRICA DE RAIO,-9.9030481,-58.5657066
12/02/2019 18:02:00,Reserva Particular Outeiro da Glória,PORTO SEGURO,BA,ACIDENTE,FAGULHA TRANSPORTADA PELO VENTO,-16.4300855,-39.0684322
04/08/2019 13:08:00,Aldeia Chapada Azul,CAMPO NOVO DO PARECIS,MT,OUTRAS CAUSAS,VANDALISMO,-13.6637567,-57.8886057
19/02/2016 16:02:00,APA COROA VERMELHA,PORTO SEGURO,BA,OUTRAS CAUSAS,INDETERMINADO,-16.3368034,-39.0094642
31/07/2016 09:07:00,AMOLAR,CORUMBA,MS,OUTRAS CAUSAS,INDETERMINADO,-19.0051788,-57.6527913
31/07/2016 09:07:00,AMOLAR,CORUMBA,MS,ACIDENTE,FAGULHA TRANSPORTADA PELO VENTO,-19.0051788,-57.6527913
28/06/2017 15:06:00,"BR 319, LINHA 22 COMUNIDADE DO AZUL",PORTO VELHO,RO,OUTRAS CAUSAS,INDETERMINADO,-8.743164799999999,-63.9156845
,APINAYÉ,TOCANTINOPOLIS,TO,OUTRAS CAUSAS,INDETERMINADO,-6.1534976,-47.4955073
,APINAYÉ,TOCANTINOPOLIS,TO,EXTRATIVISMO,CAÇA,-6.1534976,-47.4955073
17/07/2017 09:07:00,PA FLORES / URUCUI,URUCUI,PI,OUTRAS CAUSAS,INDETERMINADO,-7.229543399999999,-44.5553219
23/09/2017 09:09:00,PORQUINHOS,FERNANDO FALCAO,MA,EXTRATIVISMO,CAÇA,-6.0924461,-45.5639787
08/10/2017 17:10:00,PARNA DA CHAPADA DIAMANTINA,IBICOARA,BA,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,-12.8801668,-41.3721853
21/09/2017 08:09:00,FAZ. CAIMASUL,CORUMBA,MS,ACIDENTE,CONFECÇÃO DE ACEIRO,-19.2891731,-57.6269836
21/07/2017 10:07:00,PORQUINHOS,FERNANDO FALCAO,MA,EXTRATIVISMO,CAÇA,-6.0924461,-45.5639787
20/09/2017 16:09:00,KADIWÉU II,PORTO MURTINHO,MS,OUTRAS CAUSAS,INDETERMINADO,-20.7648109,-57.31083769999999
19/10/2018 14:10:00,PA BOM JESUS / TARTARUGALZINHO,TARTARUGALZINHO,AP,OUTRAS CAUSAS,VANDALISMO,1.3828494,-50.9907025
12/10/2018 14:10:00,PA CRUZEIRO / AMAPA,AMAPA,AP,OUTRAS CAUSAS,INDETERMINADO,-6.207102,-52.70279559999999
16/10/2018 14:10:00,PA CRUZEIRO / AMAPA,AMAPA,AP,OUTRAS CAUSAS,VANDALISMO,-6.207102,-52.70279559999999
16/10/2018 14:10:00,"L3, travesão",NOVA MAMORE,RO,OUTRAS CAUSAS,VANDALISMO,-10.417388,-65.3322221
19/10/2018 15:10:00,PA PIQUIA DO AMAPÃ? / AMAPA,AMAPA,AP,OUTRAS CAUSAS,INDETERMINADO,2.0471102,-50.7922646
26/10/2018 17:10:00,PA PIQUIA DO AMAPÃ? / AMAPA,AMAPA,AP,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,2.0471102,-50.7922646
29/09/2018 15:09:00,Fazenda Lagoa do Arroz,SERRA TALHADA,PE,OUTRAS CAUSAS,INDETERMINADO,-7.990314799999999,-38.301062
17/09/2018 16:09:00,Quilombo Kalunga,CAVALCANTE,GO,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,-13.7904208,-47.458134
,Quilombo Kalunga,CAVALCANTE,GO,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,-13.7904208,-47.458134
,Quilombo Kalunga,CAVALCANTE,GO,ATIVIDADE AGROPECUÁRIA,QUEIMA DE RESTOS DE EXPLORAÇÃO,-13.7904208,-47.458134
,SERRA DA MOÇA,BOA VISTA,RR,EXTRATIVISMO,CAÇA,3.2705054,-60.6745864
08/11/2016 17:11:00,PA GOVERNADOR JANARY / TARTARUGALZINHO,TARTARUGALZINHO,AP,OUTRAS CAUSAS,VANDALISMO,1.507904,-50.911867
17/11/2016 14:11:00,PA CEDRO / TARTARUGALZINHO,TARTARUGALZINHO,AP,OUTRAS CAUSAS,INDETERMINADO,1.5056624,-50.9118916
14/07/2017 14:07:00,BARREIRAS BAHIA,SAO DESIDERIO,BA,EXTRATIVISMO,CAÇA,-12.3620058,-44.9743722
20/09/2017 14:09:00,ESTRADA DOS JAPONES,PORTO VELHO,RO,OUTRAS CAUSAS,FOGUEIRA DE ACAMPAMENTO,-8.8486677,-63.87299269999999
,KRAOLANDIA,GOIATINS,TO,OUTRAS CAUSAS,INDETERMINADO,-8.5513873,-47.5256543
,KRAOLANDIA,ITACAJA,TO,EXTRATIVISMO,CAÇA,-8.395112000000001,-47.7735815
19/08/2017 16:08:00,CERRADO DA VILA AMORIM,BARREIRAS,BA,OUTRAS CAUSAS,RITUAL RELIGIOSO,-12.1264316,-45.00580110000001
19/08/2017 16:08:00,CERRADO DA VILA AMORIM,BARREIRAS,BA,OUTRAS CAUSAS,QUEDA DE BALÃO,-12.1264316,-45.00580110000001
02/11/2017 11:11:00,MASSAPÊ GRANDE,QUIXERAMOBIM,CE,OUTRAS CAUSAS,VANDALISMO,-4.9622334,-39.3318359
,LINHA MC - 06,MACHADINHO D'OESTE,RO,OUTRAS CAUSAS,INDETERMINADO,-9.425199600000001,-62.00246509999999
,MACHADINHO D' OESTE,MACHADINHO D'OESTE,RO,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,-9.4251854,-62.00246749999999
23/08/2018 15:08:00,PA BOM JESUS / TARTARUGALZINHO,TARTARUGALZINHO,AP,OUTRAS CAUSAS,VANDALISMO,1.3828494,-50.9907025
23/08/2018 15:08:00,PA GOVERNADOR JANARY / TARTARUGALZINHO,TARTARUGALZINHO,AP,OUTRAS CAUSAS,VANDALISMO,1.507904,-50.911867
23/08/2018 15:08:00,PA BOM JESUS / TARTARUGALZINHO,TARTARUGALZINHO,AP,OUTRAS CAUSAS,INDETERMINADO,1.3828494,-50.9907025
23/08/2018 15:08:00,PA GOVERNADOR JANARY / TARTARUGALZINHO,TARTARUGALZINHO,AP,OUTRAS CAUSAS,INDETERMINADO,1.507904,-50.911867
23/08/2018 15:08:00,PA CEDRO / TARTARUGALZINHO,TARTARUGALZINHO,AP,OUTRAS CAUSAS,INDETERMINADO,1.5056624,-50.9118916
14/08/2018 15:08:00,PA IGARAPÉ GRANDE / OIAPOQUE,OIAPOQUE,AP,ATIVIDADE AGROPECUÁRIA,LIMPEZA DE ÁREA PARA CULTIVO,2.5217052,-51.7437389
