"","data_inicio_fogo","localidade","mun","uf","tipo_item","provavel_causa","lat","lng"
"2919","14/07/2016 14:07:00","RUA PAULO TARSO","MACHADINHO D'OESTE","RO","OUTRAS CAUSAS","VANDALISMO",-9.4251996,-62.0024651
"2920","15/02/2019 18:02:00","SÃO MARCOS - RR","PACARAIMA","RR","OUTRAS CAUSAS","VANDALISMO",4.478414,-61.1482639
"2921","10/09/2019 10:09:00","VALE S.A. (Area 4)","CORUMBA","MS","ACIDENTE","FAGULHA TRANSPORTADA PELO VENTO",-19.0051788,-57.6527913
"2922","12/10/2018 10:10:00","BARREIRAS","BARREIRAS","BA","EXTRATIVISMO","CAÇA",-12.1477483,-44.9953475
"2923","03/09/2020 12:09:00","PARQUE INDIGENA DO XINGU/ ALTO XINGU","GAUCHA DO NORTE","MT","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",-13.5118253,-53.0955851
"2924","03/08/2020 15:08:00","MARAIWATSEDE","ALTO BOA VISTA","MT","OUTRAS CAUSAS","VANDALISMO",-11.7036923,-51.6244307
"2925","09/08/2016 14:08:00","PA JOANA D ARC III / PORTO VELHO","PORTO VELHO","RO","ACIDENTE","CABO DE ALTA TENSÃO",-8.7635437,-63.9065259
"2926","29/09/2018 11:09:00","Aldeia Kotitico","TANGARA DA SERRA","MT","OUTRAS CAUSAS","INDETERMINADO",-14.625173,-57.4895623
"2927","31/10/2018 14:10:00","PA CEDRO / TARTARUGALZINHO","TARTARUGALZINHO","AP","OUTRAS CAUSAS","INDETERMINADO",1.5056624,-50.9118916
"2928",NA,"Linha 08 - Nova Esperança","COTRIGUACU","MT","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-9.9030481,-58.5657066
"2929","14/02/2019 02:02:00","KADIWÉU II","PORTO MURTINHO","MS","OUTRAS CAUSAS","VANDALISMO",-20.7648109,-57.3108377
"2930","08/09/2019 15:09:00","KADIWÉU II","PORTO MURTINHO","MS","OUTRAS CAUSAS","VANDALISMO",-20.7648109,-57.3108377
"2931","24/08/2016 19:08:00","PA Joana Darc III - Linha 13","PORTO VELHO","RO","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",-8.7635576,-63.8971704
"2932",NA,"Chacara bairro Lagoa","PORTO VELHO","RO","OUTRAS CAUSAS","INDETERMINADO",-8.7810328,-63.8259802
"2933","18/07/2017 10:07:00","Aldeia Água Suja","TANGARA DA SERRA","MT","EXTRATIVISMO","CAÇA",-14.6196854,-57.4882537
"2934","09/08/2017 14:08:00","Setor III","ALVORADA DO GURGUEIA","PI","OUTRAS CAUSAS","INDETERMINADO",-8.4460976,-43.866115
"2935","05/09/2017 14:09:00","BR 319","PORTO VELHO","RO","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",-8.7609396,-63.8857213
"2936","10/09/2017 13:09:00","PARQUE DO ARAGUAIA","LAGOA DA CONFUSAO","TO","OUTRAS CAUSAS","VANDALISMO",-10.5576341,-50.1650815
"2937","09/10/2018 09:10:00","PA BOM JESUS / TARTARUGALZINHO","TARTARUGALZINHO","AP","OUTRAS CAUSAS","VANDALISMO",1.3828494,-50.9907025
"2938","10/09/2018 09:09:00","PA NOVA VOLTA / BOM JESUS DA LAPA","BOM JESUS DA LAPA","BA","EXTRATIVISMO","CAÇA",-13.4177505,-43.3705985
"2939","22/09/2018 18:09:00","PA EXTRATIVISTA SÃO FRANCISCO / SERRA DO RAMALHO","SERRA DO RAMALHO","BA","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-13.5435758,-43.5752281
"2940","20/10/2018 13:10:00","PA CRUZEIRO / AMAPA","AMAPA","AP","OUTRAS CAUSAS","VANDALISMO",-6.207102,-52.7027956
"2941","24/10/2016 17:10:00","PA BOM JESUS / TARTARUGALZINHO","TARTARUGALZINHO","AP","EXTRATIVISMO","LIMPEZA DE ÁREA PARA MINERAÇÃO",1.3828494,-50.9907025
"2942","21/10/2016 11:10:00","PA BOM JESUS / TARTARUGALZINHO","TARTARUGALZINHO","AP","OUTRAS CAUSAS","INDETERMINADO",1.3828494,-50.9907025
"2943","07/10/2016 18:10:00","PA BOM JESUS / TARTARUGALZINHO","TARTARUGALZINHO","AP","OUTRAS CAUSAS","INDETERMINADO",1.3828494,-50.9907025
"2944","15/09/2017 09:09:00","RUAS DAS CODORNAS","MACHADINHO D'OESTE","RO","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",-9.4328893,-61.9965566
"2945","10/08/2017 12:08:00","KADIWÉU","PORTO MURTINHO","MS","OUTRAS CAUSAS","INDETERMINADO",-20.7648109,-57.3108377
"2946","05/08/2017 13:08:00","Aldeia Imbirussu","AQUIDAUANA","MS","OUTRAS CAUSAS","VANDALISMO",-20.2693441,-56.0972057
"2947","18/07/2018 09:07:00","TENHARIM MARMELOS","MANICORE","AM","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",-8.337469,-61.7488586
"2948",NA,"APUI VC MARIANO","APUI","AM","OUTRAS CAUSAS","INDETERMINADO",-7.2033482,-59.8844402
"2949",NA,"VICINAL ESTRADA NOVA","APUI","AM","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM NATURAL",-7.2800726,-59.8613573
"2950","15/03/2016 17:03:00","ARAÇÁ","AMAJARI","RR","ACIDENTE","FAGULHA TRANSPORTADA PELO VENTO",3.6541852,-61.4190754
"2951","06/07/2018 15:07:00","Polo nas proximidades da Chácara do Dilei","SENA MADUREIRA","AC","OUTRAS CAUSAS","FOGOS DE ARTIFICIO",-9.0555538,-68.6625965
"2952","18/06/2018 09:06:00","PA FLORES / URUCUI","URUCUI","PI","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM NATURAL",-7.2295434,-44.5553219
"2953","08/09/2018 14:09:00","PA CRUZEIRO / AMAPA","AMAPA","AP","OUTRAS CAUSAS","VANDALISMO",-6.207102,-52.7027956
"2954","25/08/2018 09:08:00","SERRA DO MIMO","BARREIRAS","BA","OUTRAS CAUSAS","VANDALISMO",-12.1457786,-44.9714318
"2955","07/03/2016 17:03:00","ARAÇÁ","AMAJARI","RR","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",3.6541852,-61.4190754
"2956","10/08/2016 12:08:00","Kalunga","CAVALCANTE","GO","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM NATURAL",-13.7904208,-47.458134
"2957","03/08/2018 12:08:00","PDS BORDOLÃNDIA / SERRA NOVA DOURADA","SERRA NOVA DOURADA","MT","OUTRAS CAUSAS","INDETERMINADO",-12.0763919,-51.4728808
"2958",NA,"br 364 km 16 sentido cuiaba","PORTO VELHO","RO","OUTRAS CAUSAS","INDETERMINADO",-8.7745295,-63.8865871
"2959",NA,"P.A Joana Darc III Agrovila","PORTO VELHO","RO","OUTRAS CAUSAS","VANDALISMO",-8.5600086,-63.5323088
"2960","14/08/2017 13:08:00","PA SANTA TERESA-I / URUCUI","URUCUI","PI","OUTRAS CAUSAS","INDETERMINADO",-7.2295434,-44.5553219
"2961","02/08/2017 13:08:00","ESTIVADINHO","TANGARA DA SERRA","MT","EXTRATIVISMO","CAÇA",-14.5840924,-58.6443147
"2962","01/10/2017 14:10:00","ARARIBOIA JUÇARAL","AMARANTE DO MARANHAO","MA","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",-5.3458012,-46.6392183
"2963","13/09/2017 12:09:00","Aldeia Kolidiki","TANGARA DA SERRA","MT","OUTRAS CAUSAS","VANDALISMO",-14.6068311,-57.470444
"2964","22/08/2017 15:08:00","São Desiderio","SAO DESIDERIO","BA","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM NATURAL",-12.361991,-44.974374
"2965","12/09/2017 14:09:00","PARQUE DO ARAGUAIA","LAGOA DA CONFUSAO","TO","OUTRAS CAUSAS","VANDALISMO",-10.5576341,-50.1650815
"2966","01/10/2017 12:10:00","PARQUE DO ARAGUAIA","LAGOA DA CONFUSAO","TO","OUTRAS CAUSAS","VANDALISMO",-10.5576341,-50.1650815
"2967","27/08/2017 16:08:00","Baixa Comprida- Curimatá- PI","CURIMATA","PI","ATIVIDADE AGROPECUÁRIA","QUEIMA DE LIXO",-10.0355366,-44.3012875
